x1,x2,x3,x4,x5
0.1697,0.271,0.1845,0.0672,0.3076
0.1925,0.3027,0.057,0.1684,0.2794
0.0634,0.1802,0.2827,0.2948,0.1789
0.3042,0.1722,0.0578,0.275,0.1908
0.3177,0.052,0.2056,0.2664,0.1583
0.1644,0.2708,0.1997,0.313,0.0521
0.2991,0.1782,0.1724,0.0605,0.2898
0.2837,0.0541,0.1904,0.1704,0.3014
0.1683,0.3139,0.2732,0.1896,0.055
0.167,0.1947,0.3196,0.2697,0.049
0.1875,0.174,0.3073,0.2663,0.0649
0.3059,0.1821,0.2818,0.1719,0.0583
0.0636,0.3101,0.1768,0.2728,0.1767
0.2812,0.1776,0.068,0.2868,0.1864
0.0677,0.1655,0.2969,0.1904,0.2795
0.2812,0.0679,0.1635,0.1937,0.2937
0.1918,0.0596,0.1639,0.2724,0.3123
0.2555,0.2235,0.046,0.3194,0.1556
0.2765,0.3069,0.0544,0.1886,0.1736
0.1827,0.3034,0.2802,0.178,0.0557
0.2739,0.0554,0.3143,0.1656,0.1908
0.1975,0.0552,0.311,0.1668,0.2695
0.2986,0.0679,0.1734,0.2737,0.1864
0.1743,0.2794,0.0663,0.2944,0.1856
0.2698,0.0709,0.2943,0.1727,0.1923
0.1991,0.0798,0.1525,0.282,0.2866
0.2068,0.155,0.0795,0.2822,0.2765
0.2875,0.2227,0.1266,0.277,0.0862
0.2885,0.1312,0.0971,0.2597,0.2235
0.2855,0.1306,0.103,0.2537,0.2272
0.1018,0.1271,0.2516,0.291,0.2285
0.1272,0.1154,0.2826,0.2329,0.2419
0.2839,0.1386,0.1061,0.2268,0.2446
0.1483,0.2243,0.2492,0.277,0.1012
0.1997,0.0818,0.1768,0.2638,0.2779
0.2739,0.0784,0.1804,0.187,0.2803
0.2895,0.0666,0.1748,0.2071,0.262
0.2503,0.2549,0.0477,0.1572,0.2899
0.2326,0.2952,0.0398,0.1275,0.3049
0.0949,0.0226,0.1954,0.3723,0.3148
0.2916,0.0282,0.0983,0.3868,0.1951
0.3605,0.0296,0.3029,0.1068,0.2002
0.2066,0.3451,0.3054,0.033,0.1099
